Hidden Layers,Activation,Epochs,Learning Rate,Batch Size,Accuracy
[4],Identity,1,10.0,16,0.8
[4],Identity,1,10.0,32,0.03333333333333333
[4],Identity,1,10.0,64,0.6666666666666666
[4],Identity,1,10.0,128,0.4666666666666667
[4],Identity,1,10.0,256,0.9
[4],Identity,1,10.0,512,0.6666666666666666
[4],Identity,1,1.0,16,0.8333333333333334
[4],Identity,1,1.0,32,0.6666666666666666
[4],Identity,1,1.0,64,0.9666666666666667
[4],Identity,1,1.0,128,0.23333333333333334
[4],Identity,1,1.0,256,0.03333333333333333
[4],Identity,1,1.0,512,0.36666666666666664
[4],Identity,1,0.1,16,0.7666666666666667
[4],Identity,1,0.1,32,0.9
[4],Identity,1,0.1,64,0.8333333333333334
[4],Identity,1,0.1,128,0.5
[4],Identity,1,0.1,256,0.7666666666666667
[4],Identity,1,0.1,512,0.5333333333333333
[4],Identity,1,0.01,16,0.4
[4],Identity,1,0.01,32,0.5666666666666667
[4],Identity,1,0.01,64,0.3333333333333333
[4],Identity,1,0.01,128,0.0
[4],Identity,1,0.01,256,0.43333333333333335
[4],Identity,1,0.01,512,0.3333333333333333
[4],Identity,1,0.001,16,0.0
[4],Identity,1,0.001,32,0.36666666666666664
[4],Identity,1,0.001,64,0.36666666666666664
[4],Identity,1,0.001,128,0.1
[4],Identity,1,0.001,256,0.3333333333333333
[4],Identity,1,0.001,512,0.3333333333333333
[4],Identity,1,0.0001,16,0.13333333333333333
[4],Identity,1,0.0001,32,0.4
[4],Identity,1,0.0001,64,0.23333333333333334
[4],Identity,1,0.0001,128,0.2
[4],Identity,1,0.0001,256,0.36666666666666664
[4],Identity,1,0.0001,512,0.3333333333333333
[4],Identity,10,10.0,16,0.9666666666666667
[4],Identity,10,10.0,32,0.9333333333333333
[4],Identity,10,10.0,64,0.9666666666666667
[4],Identity,10,10.0,128,0.9666666666666667
[4],Identity,10,10.0,256,0.8666666666666667
[4],Identity,10,10.0,512,0.9666666666666667
[4],Identity,10,1.0,16,0.9666666666666667
[4],Identity,10,1.0,32,0.9666666666666667
[4],Identity,10,1.0,64,1.0
[4],Identity,10,1.0,128,0.9666666666666667
[4],Identity,10,1.0,256,0.9333333333333333
[4],Identity,10,1.0,512,1.0
[4],Identity,10,0.1,16,1.0
[4],Identity,10,0.1,32,1.0
[4],Identity,10,0.1,64,1.0
[4],Identity,10,0.1,128,0.9666666666666667
[4],Identity,10,0.1,256,0.9666666666666667
[4],Identity,10,0.1,512,1.0
[4],Identity,10,0.01,16,0.9666666666666667
[4],Identity,10,0.01,32,0.8
[4],Identity,10,0.01,64,0.8
[4],Identity,10,0.01,128,0.8666666666666667
[4],Identity,10,0.01,256,0.6333333333333333
[4],Identity,10,0.01,512,0.43333333333333335
[4],Identity,10,0.001,16,0.9333333333333333
[4],Identity,10,0.001,32,0.6
[4],Identity,10,0.001,64,0.26666666666666666
[4],Identity,10,0.001,128,0.5666666666666667
[4],Identity,10,0.001,256,0.3333333333333333
[4],Identity,10,0.001,512,0.5333333333333333
[4],Identity,10,0.0001,16,0.23333333333333334
[4],Identity,10,0.0001,32,0.43333333333333335
[4],Identity,10,0.0001,64,0.3333333333333333
[4],Identity,10,0.0001,128,0.23333333333333334
[4],Identity,10,0.0001,256,0.3333333333333333
[4],Identity,10,0.0001,512,0.5333333333333333
[4],Identity,25,10.0,16,1.0
[4],Identity,25,10.0,32,0.9666666666666667
[4],Identity,25,10.0,64,1.0
[4],Identity,25,10.0,128,1.0
[4],Identity,25,10.0,256,0.8666666666666667
[4],Identity,25,10.0,512,1.0
[4],Identity,25,1.0,16,1.0
[4],Identity,25,1.0,32,0.9333333333333333
[4],Identity,25,1.0,64,1.0
[4],Identity,25,1.0,128,1.0
[4],Identity,25,1.0,256,0.9666666666666667
[4],Identity,25,1.0,512,1.0
[4],Identity,25,0.1,16,1.0
[4],Identity,25,0.1,32,1.0
[4],Identity,25,0.1,64,1.0
[4],Identity,25,0.1,128,1.0
[4],Identity,25,0.1,256,1.0
[4],Identity,25,0.1,512,1.0
[4],Identity,25,0.01,16,1.0
[4],Identity,25,0.01,32,1.0
[4],Identity,25,0.01,64,0.8666666666666667
[4],Identity,25,0.01,128,0.8
[4],Identity,25,0.01,256,0.8333333333333334
[4],Identity,25,0.01,512,0.7666666666666667
[4],Identity,25,0.001,16,0.6
[4],Identity,25,0.001,32,0.7666666666666667
[4],Identity,25,0.001,64,0.3333333333333333
[4],Identity,25,0.001,128,0.43333333333333335
[4],Identity,25,0.001,256,0.6666666666666666
[4],Identity,25,0.001,512,0.5
[4],Identity,25,0.0001,16,0.4
[4],Identity,25,0.0001,32,0.13333333333333333
[4],Identity,25,0.0001,64,0.36666666666666664
[4],Identity,25,0.0001,128,0.3333333333333333
[4],Identity,25,0.0001,256,0.3333333333333333
[4],Identity,25,0.0001,512,0.36666666666666664
[4],Identity,50,10.0,16,1.0
[4],Identity,50,10.0,32,0.9666666666666667
[4],Identity,50,10.0,64,1.0
[4],Identity,50,10.0,128,1.0
[4],Identity,50,10.0,256,1.0
[4],Identity,50,10.0,512,1.0
[4],Identity,50,1.0,16,1.0
[4],Identity,50,1.0,32,1.0
[4],Identity,50,1.0,64,1.0
[4],Identity,50,1.0,128,1.0
[4],Identity,50,1.0,256,1.0
[4],Identity,50,1.0,512,1.0
[4],Identity,50,0.1,16,1.0
[4],Identity,50,0.1,32,1.0
[4],Identity,50,0.1,64,1.0
[4],Identity,50,0.1,128,1.0
[4],Identity,50,0.1,256,1.0
[4],Identity,50,0.1,512,1.0
[4],Identity,50,0.01,16,1.0
[4],Identity,50,0.01,32,1.0
[4],Identity,50,0.01,64,1.0
[4],Identity,50,0.01,128,0.9
[4],Identity,50,0.01,256,0.9666666666666667
[4],Identity,50,0.01,512,0.8333333333333334
[4],Identity,50,0.001,16,0.9
